Comment_Title,Review
Lifelong Android user switched to IOS.,"IOS:I am a lifelong android user, using android since HTC nexus. I was really doubtful if IOS can really fulfill my need like google does. and after switching, I love it. Man.. the phone is fluid. The OS amazes me, its super smooth. Those who still confused if they want to move to ios, just do it.Apple iphone XR :Well, Ive always used Longer phones like Sony Xperia Z3+ , Lg g7 thinq. This phone is a bit wide for me. It is taking time to used to with the width. And to be honest, dont go with the spec sheet. Yet it says ita 720p screen, but trst me, ive used 3k screen on Lg g7, this one is much better. Its same like a 4k tv with a crappy panel vs FHD tv with a top notch panel. Yet it says 3 gb ram, but 8Gb ram one plus have lag issues than this. Camera is as usual, Good, but not best. But low light photos are remarkable. Its good, Go for it."
iPhone XR display goes blank on the 2nd day!!!,"The iPhone XR goes blank the next day!!!I received my phone a day earlier than scheduled, thank u Amazon, I configured my phone and looked at features and slept that night. The next day morning the display went blank, the alarm rings but no display, the phone rings on a call but no display. By the end of 2nd day my ibrqnd new iphone is totally dead!!!..Now i want to return the phone but there is no option to return, only repair.What I rate this service as? I pay such a huge amount. and service is like this."
Great battery life,"I ordered this phone on Diwali offer. The phone which I got first had display issue , so I got replacement for that.my previous phone was iPhone 6 Plus.  After one week of using this phone, these are my honest review.  Firstly the phone has excellent battery life . For average use, the battery lasts more than a day easily. Although charging takes time ie about 2 to 3 hours from 10% to 100%. As I am used to iPhone home button, I’m feeling a bit uncomfortable with this phone as it has no home button. You have to swipe up every time from bottom to top to unlock the phone. It has no finger print sensor . So it’s a bit difficult to unlock while ur in bed as u have to put ur face in front of the phone for FACE ID. Reach ability is an issue if u use one handed. Especially while using Facebook, when u have to swipe down from bottom line to make ur finger reach the top screen clicking options. Display of the screen is a bit below iPhone 6 Plus. So all in all the phone is just about satisfactory."
Original iphone,"I was bit worried about the authenticity of buying iphone online with unknown seller and by paying huge amount ,I took the  Risk but i would say amazon and seller  has done a wonderful job ,i checked the product  in apple website and its a genuine product with 1 year warranty..iphone is iphone with best processor,camera ,good battery life ,good for gaming and with  regular  updates from apple .."
Waste of money,Battery quality is worst I have honor 8c and it gives 2 days backup and this phone last only 12 hours with medium usage no fast charger takes tradatitional 3 hours for full charging if u want to waste your money then go for it if u r not brand conscious buy other brands phone with much more better  configurations that too almost half of its price
it has a problem,it has a receiver failer problem
A Wonderful Budget iphone 📲,It was my first iphone till date i was an android user . But believe me once you get over these phones you wont switch it awayUsing it since a few months i noticed below pros and cons :PROS :1) Battery life.  Its this phones biggest advantage as one can easily expect the juice to last for a  day and half in single charge of mild to heavy usage .2)Camera ( being a single lens it still captures perfect portraits and is doing better than many oppo and vivo phones )3)sound quality4)IOS5)loaded with many out of the box features and provides evenly and timely updatesCONS :1) screen quality it is simple Hd only not amoled or other . But it wont bother a simple user like me in a long run as the lcd is also best in terms of apple quality .2)still a bit expensive as compared to android counterparts.3)sometimes heavy gaming will cause a bit of lag that is most of the times unnoticeable.Overall verdictIts a gr88 buy if you have the budget as its an apple product it seems to last for at least 6-7 years without any hassles and the battery life is among the best on offes as compared to other products  and is good for office goers and gamers.Kudos to apple for providing timily updates and stability .
Fantastic 👌👌👌!!!!,"You will be very happy with the product display is your concern don’t worry it is awesome, it has  very accurate colours . Battery is ok. Camera and performance are top notch.If you are into iOS you will love it, but if you love big specs of android (like 8 gb ram,1080p display) you will not consider it. In an iPhone specs don’t do justice to their awesome products. End line ‘It is awesome ‘😉.  Peace ✌️"
One time buy.,"Got the 128 GB model since an iPhone almost always run out of space and never have the option for an SD card like Android devices.Overall there's nothing much to say about the phone itself.It is pretty much a status symbol and has little to no utility value.The camera is the sole selling point on any Apple device.There is nothing much you can do other than basic stuff like surfing the internet, watching videos, chatting and the occasional phone call.You cannot even have the option for changing the wallpaper daily!The battery life is fine if your usage is not heavy. However, don't expect it to last you for a full day.Overall it's an ok ok phone and which people would buy before going back to an Android device after 3 years."
Camera and display quality is not good.,"Dude i was confused first that which one i should buy oneplus 7pro or iphone xr, so i choosen xr for 40k on offer and every thing ia good but i am dissapointed with tha camera quality and display quality really i have iphone 7plus also but the display is far far better then xr and the camera is also better but i know iphone 7plus has dual camera and that's ok but dude detailing is missing and also zooming is also missing we get digital zoom which reduces tha quality...."
Value for Money!! True Performer!!,"I believe firmly that this is the Best Affordable Phone Apple has ever made!!!1. Superb Build2. Amazing Screen, Excellent Sunlight visibility, Great contrast and watching content on this screen or Reading is just an absolute pleasure!!!3. A12 Bionic chip is flawless!! day-to-day usage, Gaming, Multi tasking all works great.4. Being a singer, as I record songs in Karoke apps like Smule and Starmaker, recording I made thru iPhone were the best so far in the huge list of phones I used, eversince I started singing. In-Box headphones are wonderful and the Mic just works amazing. (Interested to check my recordings, please check with the ID : vindurocks, same ID for both Smule and Starmaker).5. The highlighting factor about this phone is the Battery Life. The A12 Bionic chip is such power efficient that it my phone still has atleast 40% battery left whern I reach home after work!! and thats incredible looking at the battery capacity that apple furnished in the phone. (I have my Data connection always ON, bluetooth ON and connected to Airpods, and when in Office, always connected to WI-Fi)6. Camera is Good too on this.. though not the best camera apple made, but it gets the job done for me. So no complaints on that as well!!7. Buttons are super tactile and clicky.. Ear piece is clear. Signal reception is Good as well. So its actually works well as a phone apart from all other shenanigans I mentioned earlier. So Full Marks Apple :)8. The face unlock is blazing fast and its more secure than most of the android phones out there. So no complaints for not furnishing a fingerprint reader. (after the upgrade to iOS 13.2, face unlock became much more efficient. So great job done.On a whole, even if you are a power user, this phone will suffice with all the aspects you are expecting out of a smart phone. And my sincere advise to other who are out there is, if you already own this phonne, then don't go for iphone 11.. instead, use it for 2 years and go for iPhone 12, as we are expecting some breakthrough features with the same.So this is my opinion and Kudous to apple for making this attempt in making this iPhone a Great Value For Money device."
Peace of mind,"Easy to use, serves the purpose. I was an android guy for like last 7 years before that was using blackberry in between switched to ios as i used iphone 5c but at that time i was a bit disappointed may be because quite young i was and a bit techie but now i use my phone for basic purposes like calls, whats app, email, social media n bit gaming n music so it really handles that well though i was a bit hesitant at first as i was used to of finger touch sensor but seriously face recognition is damn good it works like a charm even when there is no light, so if you want no nonsense stuff n if it suits your requirements then go for it as now a days even droids are equally expensive in-fact some are more expensive like fold, razr etc. so just listen to your heart and buy ios or android and you wont go wrong, though i got mine in an offer for ₹43000 for 128 GB variant"
Iphone xr water test,In two months the phone got destroyed its screen is filled with water its ip certification is nil bloody ios.....
Best iPhone i ever used..........,"Excellent deals offered by Amazon 38k after bank discount.......best iPhone for every aspect.......good camera ...... battery backup excellent......... looks elegant.....feels premium in hand.....and  one think i said to all , though it's a 720p display but display is excellent quality.......there is no panicked about it....and also played 1080p video in YouTube.......so .....go for it.......this is best budget iPhone at this price point......thank you Amazon........"
Apple iPhone XR (64GB) - Black - Value for Money,"I have purchased this Apple iPhone XR (64GB) - Black for my use.It has been more than a week since I started using Apple iPhone XR (64GB) - Black and the experience is quite good. I have chosen a Black color variant because it gives an executive look. I found a smooth operating system, good camera performance and a good sound quality. The important thing is the face ID which is very fast and working well in my handset. I was a bit skeptical about how to use the OTP messages and password recognition, (since this handset doesn’t have finger print unlock), but all my doubts were clarified when once I started using this handset.  The only one thing I am unhappy is the battery draining which is very fast compared to android devices. The phone is bulky, heavy and weighing more than 190 grams. We need to use a protective case to protect Camera bump and glass on both sides. Except that the other features are all working well. The Amazon was very prompt in processing and delivering the Handset in scheduled time even though the festive sales were going on....."
Amazon freedom sale made me buy the Best Phone at a better deal 😍❤️,"I was always an iPhone user  till 8+ , then thought of changing to note 8 I loved that phone too but over the period of time I started realising there is nothing like IOS and iPhone. After using two high end androids (i keep changing phones) I witched back to iPhone and OMG I must say it has even become better it is so smooth like a butter on pan and IPhone X r is beauty, Liquid Retina is awesome and beautiful will not make you miss oled also the battery back up is woooowww .  This is the first ever phone I bought thru AMAZON I was skptical but thought of taking risk and yes Amazon delivered what they promised thru FREEDOM sale got a very good deal for 128 gb everyday I fall in love with this phone ..go for it if you want a best experience using phone"
Great value for money,iPhone XR is still a great buy. The price VS performance ratio on this phone makes it a very sensible buy. If you don’t care about the latest and greatest this one year old offering from Apple is a far better buy. Only down side on the phone are as follows:-1) no out of the box fast charging cables. (I love using it on a wireless charger which I charge for an hour during meals)2) no fingerprint scanner - I missed it initially but the Face ID works well.3) The new gimmickry of iPhone 11 cameras such as low light photos is not available. But I can live with that knowing well I paid almost half the amount of a new iPhone 11.
One of the best phones even in 2019 that can satisfy your needs,"I got it during great Indian festival for 38,000rs. Great value for the price.Amazing display, beautiful  camera , awesome design and it's very slippery. I covered it with a case and the display gets scratched easily. So cover it with a protector too. Headsets are top class, fits perfectly.The USER INTERFACE is super simple . I got used to gestures and I'm enjoying it now.Camera: takes beautiful pictures even when in motion ! Sharp and less contrast pictures are classy !  The flash is the best !The stereo speakers are top classGives you a 3d feel or perfect stereo feeling while hearing songs !FaceTime ! Use it and iMessages !? There is nothing to beat that !Disadvantages using iphone XR !?BATTERY Charging speed : Gets charged slowly, but the entire day the battery works for you, unless you are a heavy gamer or something, like a photo editor! I wouldn't say that's a disadvantage.DESIGN:  Next, slippery hold and easily scratched display. Don't think twice to buy covers and screen protectors. Else your phone will be with dents and scratches. So you can't show off the colours of your display once it gets covered.Camera performance at night is little bit disappointing. Needs more light.Pixel 3 and iPhone 11 are better.Earphones slip when you move too fast. Again personally i don't advise or use ear phones while travelling unless necessary. So in that case, if you aren't wearing helmet or you sit in the window seat , it's a problem !I cloud storage is full in few days and if you think, google photos give free storage, then this is an issue (remember google doesn't give free storage for hdr photos)Overall, I'm new to Apple ! And this is my first ever apple product !But i feel a lot SAFER  than using pixel or any android phone.Siri seriously sucks !Google assistant is the best !Also this phone is water resistant/proof, but i haven't tested it !"
Overall it's a beautiful phone which is having capacity to enrich your standard.,"Their is No earpods no lightning cable or connector in that box and will call after few minutes it blanks the call,not even a bip. Kindly give me some suggestions to rectify that"
Awesome phone,"Good at 52k (the price at which I got the phone). The phone wasn’t worth 76k when it was launched but at 52k it justifies itself.Pros:iOS is very smooth and good. I am Using an iOS device for the first time but am really happy with the OSBattery life is excellent. I use to get almost 7 hrs of screen on timeDisplay is also very good. It is sub 1080p but  is an excellent panel. Comparing the other competitors in the market like S10e and Oneplus 7 pro, it's display is not as good as the others but is okayish..A12 Bionic chip is excellent. No matchBuild is soild and goodCons:Price is too high. I got it for 52k at sale but still it's quite expensive. I think 45k would have been good.Camera was overhyped by the youtubers but the camera is no match to its elder siblings.Apple is charging quite a bit of premium but still is offering a 5W slow charger:(Face ID is fast and secure but no match to a physical fingerprint scanner in terms of speed."
Its Apple so no comments on their quality and user experience,Its Apple so no comments on their quality and user experience. Fabulous purchase got it at 43K which is worth and enjoying it
"having sleek design with one camera setup, i like back side clean","iPhone XR performs better than those specs that it showed in paper for XR.The battery is very very good and performs very well with such a small batter that is lower than 3000 mAhAfter receiving XR,  I charged it up to 100 % then used with wifi up to 4 hours continuously and then go to bed leaving battery at 65 % and wake 2 AM then updated to iOS 13 and continue using it with my home wifi till 9 AM (almost 7 hours).and leaving battery at 11 % and then I again used the internet on it and left the battery at 4 % in 40 min.And currently writing a review at lappy and phone is at 4 %.So I can say that it works 11 hours properly on a full charge.NOTE: I used it only with social apps and productivity apps and all that, I have not played any game with it in this review"
The revolutionary smartphone that makes Apple stand out from the crowd,"The iPhone XR is by far the best that Apple had to provide in the recent years with no doubt. Right from the camera to its horsepower battery backup, everything is top notch.And speaking of notch, the notch of the phone looks uber premium and gives a definitive all-over touch to the phone.Even while sporting an LCD display, one can never differentiate it from other models regarding the clarity and resolution. It still stands out.This review is made after using the phone for over 2 months."
Display issue in 15 days- not sure whether genuine,"Not sure whether genuine product. Bought it on the first day of amazon sale. Within 15days, got a vertical line in the middle of display- see photos. Have bought 5 apple devices in the past and never had any problem with any of them so far. Since the return window closes within 19 days have to now take it to apple service center. Seriously makes me thing about the originality of the product."
"Best battery on an iPhone, yet!","I am more or less stuck with the iOS platform because of the iwatch since I love its functionality. Upgraded from my 3yr old iPhone 7, was actually waiting for prices to drop post September this year  but when Amazon came up with an unbelievable prime deal, I couldn’t resist!Everything on the phone works as it is supposed to, no complaints! The battery however is a BEAST, I always used to carry my power bank along with me for the iPhone 7 but i no longer need to with the XR, easily gives me an entire day of use with more than 6hr SOT and still have about 25-30% juice left! Looking forward to what ios13 brings..."
Camera is pathetic,"I will not recommend anyone to buy XR,if you are considering iphone from camera perspective.Instead go for some other version.Really repenting, post buying this, as camera is pathetic, not expected this from iphone.Mi 6 and one plus 7 photos are superb and much better than XR.Else as a phone Iphone anyways is goodBattery life is superb,last for a day with continuous usage.Face recognition has no issue.Processing is faster."
Good product,Fantastic Apple phone in this price range.Almost all features are good. Camera is OK. Battery life very good. Face detection very good. Phone size is just perfect. Design very elegant.Apple as usual gives pathetic accessories. Charging is damn slow with original adapter I suggest better to use other faster travel adapter. Works perfectly with other adapter and charges quite fast. Earphone is OK. Sound quality is good but often falls off.Overall excellent Apple product.
"Excellent Phone, can be used as Dual Sim with E-SIM","Purchased this phone for a friend and he is very happy with the performance of the phone. Camera quality and features are the industry standard. For anyone refraining from buying an iPhone because it has only a single SIM slot,  please be informed that this Phone does support Dual SIM if you use E-SIM. Airtel and Jio, for now, has E-SIM facility. For a more detailed review do visit my review website at excitedneurons(dot)com"
iPhone XR review,"First of all the Face ID is crazy fast and accurate even during pitch darkness. The phone is fast and smooth, you don’t feel like you are having just 3Gb of RAM, it handles anything you through at it without a hitch. The phone does feel premium and at the same time delicate because the backside is glass,”as you know glass is glass and glass will break”. The pictures taken from the camera are good but the lack of night scape sort of things is a con. Overall the phone is great, although the side bezels are thick, you get used to it. The LCD screen does not lack anything compared to the OLED’s in day to day usage. You just stop thinking those things when you are using daily."
Heavy phone with decent battery life,I bought XR after 11 came out. I read a few articles and saw a few video reviews which said that the real difference between the phones was the camera and that it was negligible and not worth the price difference. This phone is actually quite heavy but the trade-off is that the battery life is significant.  Even with gaming and video watching the battery was fully charged will last from 9 to 7 W/O going red.
Product RED,"Gifted my wife with this phone for her birthday. Thanks to amazon for the fast delivery and maintaining their quality standards.I had other options such as OnePlus, Realme and other android devices, I choose the iPhone for simplicity and amazing software which others don’t provide."
‘X’rCeptional,"This is my first iPhone after 10 years of being an android user. This review is after using this phone for 2 months. The performance has been top notch, battery life is very good considering  most of my days are moderate to heavy usage I still find 20-30 % battery the next day. Camera is good too but at time you miss the secondary lens for portraits and portraits don’t work on objects.Screen is just fine I have not noticed any major difference. Definitely a steal during sale period."
Nice phone,"I am writing this review after using this phone for more than 10 days now . I upgraded this phone from iPhone 7 . The phone is really good , worth a buy if its on good sale .  128gb - around 55kcamera -  quality is really good and better from 7 . Both front and back side camera .The colours is very original .Battery - It lasts for about 18hrs as I personally use it more for social media . GOOD EXPERIENCE WITH THIS .Charging - it may take more time  then iPhone 7 to charge the phone (That is the draw back for this phone )Very slow charging !!!! I will personally not suggest to use other iPhone charger in this phone because there is a little problem with that .Face Unlock - It works pretty good and fast even at night when the lights is off . You may find little problem when you are using your earphone and trying to unlock the phone . It generally takes time or does not accept . Every other time either you are wearing glasses even with SUNGLASSES  it works pretty good and fast .As the size of the phone is bigger from iPhone 7 it takes a while to get comfortable with it . Accessing full phone with single hand is difficult or not possible .Gaming - I have bought 128gb phone which is very nice that too on sale . the phone doest hang on heavy games .Display - The display quality is really good specially the night and day effect , it automatically sense out the mode so its really good for eyes . It doest damage the eyes or effect them . even in low brightness you can comfortably see all apps and read the data .All over its a good device and worth a buy if you buy it on SALE ."
Gorgeous ❤,"I ordered IphoneXR a few months before from my brother's Amazon account. Beautiful phone with so many features. Battery life is better than other phones, but tablets part of this phone is it never gets hanged. Best for clicking stunning portrait, photos and slow motion videos. It's a must buy and the price is reasonable. Go for it, you won't regret it."
Useless purchasing from Amazon,Want to return but u are not accepting it.. Bad experiance on amazon... Really paying a huge amount and giving bad quality products....
Fantabulous!,"Top end model IPhone XR with the Price of 42k😎 Extremely satisfied... I was an android user for 6yrs and this was my first upgrade to iPhone.. Battery Standby is just next to impossible in any smart phones these days, Face ID fab!(One dis - If I covet half of my face during bike riding, it doesn’t recognise me😂)Other day to day usage very much user friendly.. Don’t have a 2nd thought.. Close your eyes and go for it😉"
Excellent value for money product,"Fingerprint reader given one star coz it has Face ID 😂, it works lightning fast (even in the dark) , super build quality, battery backup is nuts (works for more than 2 days with decent use) , Camera quality is amazing for photography and videography. Preferred product over iphone X if screen quality is not the main thing to notice (doesn't matter if you don't watch 4K videos on youtube)It records 4K video though like charm"
Super phone,Thanks to Amazon for putting it on sale for 43K . Wonderful phone to have at such price . Battery life is perfect for heavy users . Although a double camera would have made it perfect.
Great job by Amazon,"It's just two days ago I have received the phone. Iphone XR Red 64 GB. The package included the iphone,  charger (not wireless) and earphone. The package arrived on time. It was neatly packed. And it's a new product unlike multiple assertions in this forum. It's too early to say about the performance of the phone except that I didn't face any difficulty to configure it. It paired nicely with my wifi and my bose speaker (sound touch 10)."
My first ever Iphone : Red : Loving it!🥰,"Heyaa! I just purchased Iphone couple of weeks back and its been 15days of my experience with iphone! This is the first ever Iphone for me and im super excited to buy this....here goes my quick review in brief about the entire phone specs!Camera : The best i would say. Though its single camera phone it never disappointed me till date as each and every image was with accurate clarity.UI : Being an earlier android User this phone gives me a buttery smooth UI experience that i havenot experienced in any of the phoneBut yes i would say it rarely stucks or hangs at  times. Let me be clear only onece in a day! Or soIos update : Super feelsCoulour : The best of all Iphone colours till date and thats the Product(Red)FaceId : Excellent, works wellNo fingerprint scanner but That has not been an issue for me as faceid is far more better.Earphones ans charger : Good quality and working wellBattery : I heard many ppl saying iphone gives worst battery life but neverthless true that statement i would deny it!Yes this phone charges very super fast with 5w charger and its batter life is quite good but please dont expect as android but i did not find any major drawback in batteryWorks cool even with continous usuage!Esim : This is teh best option introduced of all iphones i would say! esim idea is really a great thing in this phoneBoth my sims airtel and idea works really coolI used Airtel prepaid for esim functionality and no issues experienced untill nowOverall, A great phone at this price range. I bought it for very low price 41k with my moto exchange offer during great indian sale!"
When u have to choose between to best products.!,"It's my first iphone ..i had also read a review about this phone which made me convinced to buy this particular product and model,though color yellow is my own choice,actually I wanted to buy iPhone 11 but when I read a review about this phone i got convinced bcoz sometimes it's really difficult to decide between to best things. Guys whosoever wants to buy iPhone 10 xr plz go for it it's a beautiful phone with all latest feature. Picture quality, screen touch, face recognition,battery life every thing is perfect,And trust me u won't regret..!!💕."
Amaaaaaaazing,"This is my first iPhone and I am being excited. Close to a month now and I am still saying my new iPhone.In comparison to Android, the processing speed is crazy good. I am feeling empowered.The battery yet amazing. Easy 2 days Even after all the binge watching on Netflix.Oh the look and feel of it. I flaunt my phone. It’s an amazing blue. A different shade than anything else in the market.I guess, I can on one leg and say I inspired 2 more people to buy this🙂"
Terrible Experience to switch from android to iOS,"If you are an Android user, you will find iPhone difficult in many respects. Firstly iPhone is not google friendly. Google updates will not happen automatically. Many free apps found in Android phones are not available in iPhone set up or you have to pay dearly. And there are many moreeeeeee......"
Happy with this purchase.....!,"Good purchase during the sale. I like it. Moved from 6 to XR, which makes it bulky in your hand. But i will get use to it. Battery backup is good. I love the photos clicked in Protrait mode. I have been using it for the past 2 days and it is up and running as it should.Thanks to Amazon for the on time delivery.Cons: Bulky in your hand. with the ""Egotude Series Dual Layer Hard Back Rubberized Matte Semi Transparent Bumper Cover Case"".Without case, the weight difference between onplus 7T (191 gms) and XR (194 gms) is 3 gms only."
Best battery backup ever on an iPhone..!!,"Got this iPhone XR 128GB in an awesome deal of rs. 42,999 thanks to amazon.Truely surprised by the battery backup. Best ever, i've  used 6, 8 and now XR. XR is the best in battery backup and camera quality is also very good for a single camera sensor.Loving it..!!"
Classy,best phone in universe for pubg in its price range.buy it without hesitation and it will stick with you for next 3-4 years.very good and classy phone.
Great deal with a good product,"The iPhone is a great phone, but I am really impressed with amazon. I recieved the phone in less than 36hrs and checked the warranty and coverage on the Apple website. Everything was right in place, turns out I was unnecesarily hesitant to purchase the phone online. Also got one year screen insurance free in addition to the heavy discount!"
"From 3g, 3gs,4g,5g,6s now XR . Iphone Lover .",3 years with iPhone 6s and never faced a lag or hang . Battery started draining faster obviously 3 years and heavy usage did that .Finally on XR . By feel larger and better screen better speed Faster signal wifi or Internet.Battery is surely improved now. Half a day and I am still at 77% .Iphone lover
iPhone xr,"I hot this product with 37K during big billion sale  ,and the product is super but it is not for you if you are a camera freak . Back camera and front camera both are good but front camera night vision is not enough . Over all battery life is good . Potrait mode  photos also good (without having a dual back camera)"
Mind Blowing,"Best Iphone.....Retina display is just mind blowing...properly fitted in and fully operable with one hand.Battery life is good, camera is ok ok and UI is smooth and easy with lots of tricks to use. One thing is missing that is the fingerprint lock. But the facelock is smooth as butter.Very happy to buy this, my 1st iphone and I am loving it."
Screen turn on issue,"While on call, if you want to see the screen, it takes time to turn on. So if you want to disconnect or add another call, frst you have to wait for the screen to turn on.. which is very irritating. One can’t even press the home button as it is not there in xr. Even aftr pressing power key, screen doesn’t turn on immediately nd pressing it twice results in disconnection of call. 😤😤"
Brilliant In Every Way!,I have been using this Phone for about 5 months. I had used 5s and 6s plus. This phone is definitely a Big Big upgrade from former models. It’s brilliant in every possible way. The two main concerns which I had earlier with iPhones were battery life and secondary SIM card. I’m happy that finally Apple heard us and released this beast. You might wonder about thick bezels and LCD display on this phone. I bet you don’t notice them at all when you get along with this phone. No wonder why XR is the best selling smartphone worldwide. Battery life is excellent. Enough of reviews. Just go for it. You won’t regret at any point of time!
Go for it!,"Note: No fingerprint reader in the phone so please consider it as the review of face id.The product is really good no doubt. It arrived on time and the product was secured and sealed plus overall packaging was good.The product was not tampered with but the only issue is that of the bill inside which was crumbled, tattered and half torn. The phone is ofcourse not updated to the latest ios so that is what you can see happening in the picture. I would Recommend the phone and the seller but only if he starts sending the bill properly."
Loving it!!,"Using an iPhone after 6 years. Have been using Android and the transition is bit difficult as I am used to having different functions. Happy with product, it is not as bulky as I assumed. Vibrant colour and smooth functioning. Delivery was also very quick.Camera quality is good, still need to get familiarised and get used to its functions."
Best iphone u can get ryt now,"Waited for a long time to get this mobileAnd got this for 38k with sbi card in great indian saleI was worried about the display coz its not 1080p but surprisingly did well and I didn’t notice the change and colours ar brilliantCamera is top notch and u can use neural can to get night mode, face id is vera level , colour is bright and everyone stares at it , battery lasts throughout the day"
Awesome Phone for a Average Users !!!!!,The product is awesome i have brought the same in Sep & there has been no issues it’s currently running on IOS 13.2.2 & the phone is very fast it also has e-sim which is a major plus point face recognition is very good without any hassle & the battery is good enough to take it for a day & half. As this phone was bought after APPLE TV + was released we have received a annual subscription free with the product from 1st Nov 2019
Not worth buying,"Its a good phone but definitely not worth 50k1. The camera sucks as compared to the price of the phone. Android will offer you far better quality at a very less price.2. The keyboard really irritates you as typing is not user friendly and moreover there is no separate numerical pad like android.3. No split screen like android4. Cannot copy paste an OTP. You need to scroll down the notifications bar, read and then manually type in.5. Its really a heavy phone.6. There is no inbuilt music player and the equaliser cannot be customised.7. Battery life is ok. If you are not connected with the Apple Watch then Bluetooth is off and it will run for 18 hrs with phone data on and with limited operations. With gadgets connected, not even 12 hrs.I have been using this phone for 3 months now. What i have understood is that android is by far a better option in terms of everything."
What a phone,"It's a fabulous product. I'm sure everyone knows it's quality. Only one thing that I should mention here regarding the battery. I was definitely expecting a better battery life in the normal mode. It's merely giving a day with normal usage in that mode. However, in the Low Power Mode, its giving a great battery life without compromising any regular features of the phone."
"Excellent phone, but unfortunately have got a defective product","It is genuine and good phone. Esim facility is not working. May have to check with the service provider as well.After using four months updating the review:The headset speaker have stopped working. have given for service and immediately, iplanet care team has changed the entire front glass / speaker set which might be worth of 23K. but even after that, again have got the same problem. looks like some mother board issue whenever I install any apps which uses microphone like whatsapp or any VOIP based app. Again have given for service and keeping the fingers crossed."
Waste of money,"Serious problem with the lower mic, after spending all that money in this faulty crap just after two months you finally feel that you are the biggest C* in India who is buying an iPhone. Fragile product, connectivity issue, software issue & restrictions  all the type of minor issues have been build up causing a serious issue. Think before you waste ya hard earned money. Apple products are degrading their quality to keep their stocks and shares up."
Phone started hanging on the first 15 days,"My experience with iPhones was never bad but this time with iPhone XR the phone started hanging from the very first month, it has not yet been a month and is already hanging.. did not expect this from apple gadgets. everything else is good the battery life , camera but its a little heavy, heats up and has started HANGING."
4 star. Certainly not the iPhone of Steve jobs era.,My 1st iPhone. I liked it. Only difficulty I find is I didn’t get much variety Of cases and cover for this model. You have to use for hands to handle this phone because of its size and skin. I purchased it in sell at Rs 46k in Nov 19. I prefer volume keys to be in right hand side and music aux cable on top which makes a mobile easy to handle and operate
Amazing product -- Delivered in 3 days,Pros:Fast Face ID.Smooth and fast performance.Very good Network Reception.Sound quality is awesome due to Dolby Atmos.Display is very good despite being low resolution.Rear Camera is very good.Battery is good lasts for 1 day.Cons:Fast Charger of atleast 12W should have been bundledCharges fully in 4 hours from 0 to 100% with in-box 5w charger.Front Camera should have been better with low Aperture and more features.
A premium mobile in hand,"Thanks for Amazon for genuine product and safe delivery. Couple of month back i bought this mobile for 55,999. I am quite shock to see the reduction in price. However, The mobile works absolutely fine and truely a flagship phone. Smooth UI, Outstanding camera and average battery life.While business people who are into phone in most of the hours will feel heavy because of mobile weight (194 gm), My hands started to feel heavy during long calls and using applications. If you are not an iOS fan i would suggest Oneplus that deliver same features with less phone weight comparatively."
Manufacturing Defect!!,"Everything on this XR works extremely well but the only problem that i have faced is that there is some kind of manufacturing defect in the camera lens.The photos shot have a black spot kind of smoky.Its only visible when something bright like sky or white wall is shot.Also,I’ve wiped the camera glass many times so it’s not on the camera but the inside lens.Guys,phone is quite good just be careful while purchasing can happen with anyone."
Pricy but best customer experience,"This product having innumerable attributes to delight a customer at its maximum level. Everything is unique and differentiable. But this phone is not for the mass customer, it is exclusively segmented and positioned for the affluent segment of the society. Therefore the product is not affordable by the common customer."
Complete review after one month use,"For: Great battery life for an iPhoneAttractive array of colorsA great value optionAgainst: Portrait camera mode doesn't impressSome apps still not fully optimizedLower-res screen1.Only a single camera: single camera but the lense is same as iPhone XS and processing is better2. The liquid ratina screen: The effect is much like the LCD screens Apple has made before, to be honest, as they’ve always been colorful and sharp, but with the new ‘Liquid Retina’ display things are supposed to closer to the high-end OLED screen.3.NO 3D TOUCH ON IPHONE XR: This feature has been removed for the iPhone XR, presumably to save money – instead you have to do a ‘long press’ to do the same thing. So if you ever accessed shortcuts by pushing harder on an app, or opened the torch with a harder prod on the lock screen… well, that’s gone.4.Chunkier design: The iPhone XR is also a thicker design, with chunkier bezels around the side of the phone – hold it side by side with an iPhone XS and you’ll feel it’s clearly the cheaper model, with a thicker feel in the hand.5.Multiple colors: The iPhone XR is the first in a long time to come in so many colors: (product) RED, which is the sample we have, blue, white, yellow, coral and black - to some, this would feel like the natural successor to the iPhone 5C.6. Improved battery: Apple believes you'll be able to get 90 minutes more battery life out of the iPhone XR than the 8 Plus, which is a big jump in real terms.Well – and we don't want to spoil the surprise a little later – we'd say it's even better: the iPhone XR finally achieves the holy grail of all-day battery life in an iPhone. A year on, and the iPhone XR is still regularly getting through a day on a single charge.If you play a lot of games, or watch a lot of videos, you'll likely need to charge it before bed, but on average the iPhone XR battery life is reliable.7.and best part it comes with ios 13 which is great and you will not get any update in a year because apple release ios in a year😂"
Possibly the best iPhone in the market,"First thing to notice is the amazing battery life on this thing. Whoever is complaining of the pixel density and display being inferior to other high end devices clearly doesn't have a sense of display technology. You have to hold it and see for yourself to believe what a beautiful device this is. Camera is insane, very sharp color accurate images, unlike any other Chinese crap available in the market. Upgrading from an iPhone 6 that I used for 4 years (which still functions pretty well), one thing is pretty darn clear that Apple makes the most durable and classy products at the moment without a doubt. I am very sure and that I'm not buying any other device for a long time after this."
Iphone - either Iphone or no phone,I dont understand why would anyone use any other phone other than Iphone.  God please forgive their ignorance. They know not what they are missing
